Test_Type,Input_Transcript,Expected_Result
유형 1,어제부터 속이 쓰리고 소화가 안 돼서 너무 힘들어.,내과
유형 1,어제부터 속이 쓰리고 소화가 안 돼서 미치겠어.,내과
유형 1,어제부터 속이 쓰리고 소화가 안 돼서 병원 가야 할까?,내과
유형 1,어제부터 코 수술한 곳이 부어서 너무 힘들어.,성형외과
유형 1,어제부터 코 수술한 곳이 부어서 미치겠어.,성형외과
유형 1,어제부터 코 수술한 곳이 부어서 병원 가야 할까?,성형외과
유형 1,어제부터 무릎이 쑤시고 아파서 너무 힘들어.,정형외과
유형 1,어제부터 무릎이 쑤시고 아파서 미치겠어.,정형외과
유형 1,어제부터 무릎이 쑤시고 아파서 병원 가야 할까?,정형외과
유형 1,어제부터 발목 삔 데 침을 맞고 싶어서 너무 힘들어.,한의원
유형 1,어제부터 발목 삔 데 침을 맞고 싶어서 미치겠어.,한의원
유형 1,어제부터 발목 삔 데 침을 맞고 싶어서 병원 가야 할까?,한의원
유형 1,어제부터 생리통이 너무 심해서 너무 힘들어.,산부인과
유형 1,어제부터 생리통이 너무 심해서 미치겠어.,산부인과
유형 1,어제부터 생리통이 너무 심해서 병원 가야 할까?,산부인과
유형 1,어제부터 눈이 침침하고 뻑뻑해서 너무 힘들어.,안과
유형 1,어제부터 눈이 침침하고 뻑뻑해서 미치겠어.,안과
유형 1,어제부터 눈이 침침하고 뻑뻑해서 병원 가야 할까?,안과
유형 1,어제부터 목이 붓고 따가워서 너무 힘들어.,이비인후과
유형 1,어제부터 목이 붓고 따가워서 미치겠어.,이비인후과
유형 1,어제부터 목이 붓고 따가워서 병원 가야 할까?,이비인후과
유형 1,어제부터 피부에 두드러기가 나서 너무 힘들어.,피부과
유형 1,어제부터 피부에 두드러기가 나서 미치겠어.,피부과
유형 1,어제부터 피부에 두드러기가 나서 병원 가야 할까?,피부과
유형 1,어제부터 소변볼 때 찌릿찌릿해서 너무 힘들어.,비뇨의학과
유형 1,어제부터 소변볼 때 찌릿찌릿해서 미치겠어.,비뇨의학과
유형 1,어제부터 소변볼 때 찌릿찌릿해서 병원 가야 할까?,비뇨의학과
유형 1,어제부터 요즘 잠도 안 오고 우울해서 너무 힘들어.,정신건강의학과
유형 1,어제부터 요즘 잠도 안 오고 우울해서 미치겠어.,정신건강의학과
유형 1,어제부터 요즘 잠도 안 오고 우울해서 병원 가야 할까?,정신건강의학과
유형 1,어제부터 어금니가 시려서 너무 힘들어.,치과
유형 1,어제부터 어금니가 시려서 미치겠어.,치과
유형 1,어제부터 어금니가 시려서 병원 가야 할까?,치과
유형 1,갑자기 속이 쓰리고 소화가 안 돼서 너무 힘들어.,내과
유형 1,갑자기 속이 쓰리고 소화가 안 돼서 미치겠어.,내과
유형 1,갑자기 속이 쓰리고 소화가 안 돼서 병원 가야 할까?,내과
유형 1,갑자기 코 수술한 곳이 부어서 너무 힘들어.,성형외과
유형 1,갑자기 코 수술한 곳이 부어서 미치겠어.,성형외과
유형 1,갑자기 코 수술한 곳이 부어서 병원 가야 할까?,성형외과
유형 1,갑자기 무릎이 쑤시고 아파서 너무 힘들어.,정형외과
유형 1,갑자기 무릎이 쑤시고 아파서 미치겠어.,정형외과
유형 1,갑자기 무릎이 쑤시고 아파서 병원 가야 할까?,정형외과
유형 1,갑자기 발목 삔 데 침을 맞고 싶어서 너무 힘들어.,한의원
유형 1,갑자기 발목 삔 데 침을 맞고 싶어서 미치겠어.,한의원
유형 1,갑자기 발목 삔 데 침을 맞고 싶어서 병원 가야 할까?,한의원
유형 1,갑자기 생리통이 너무 심해서 너무 힘들어.,산부인과
유형 1,갑자기 생리통이 너무 심해서 미치겠어.,산부인과
유형 1,갑자기 생리통이 너무 심해서 병원 가야 할까?,산부인과
유형 1,갑자기 눈이 침침하고 뻑뻑해서 너무 힘들어.,안과
